key,tw,en,jp,ko,notes
inquiry.source,如何得知豆之間,How did you hear about us?,豆の間をどのように知りましたか？,어떻게 저희를 알게 되셨나요?,洽詢-來源
inquiry.sourceFB,FACEBOOK,Facebook,Facebook,Facebook,洽詢-來源FB
inquiry.sourceIG,Instagram,Instagram,Instagram,Instagram,洽詢-來源IG
inquiry.sourceBlog,部落格介紹,Blog,ブログ,블로그,洽詢-來源部落格
inquiry.sourceMedia,報章雜誌,Magazine / Newspaper,雑誌/新聞,잡지/신문,洽詢-來源媒體
inquiry.submit,確定送出,Submit,送信,제출,洽詢-送出
inquiry.submitting,送出中...,Submitting...,送信中...,제출 중...,洽詢-送出中
orderSuccess.title,Thank you for your order!,Thank you for your order!,Thank you for your order!,Thank you for your order!,訂單成功-標題
orderSuccess.line1,感謝您的訂購,Thank you for your purchase,ご注文ありがとうございます,주문해 주셔서 감사합니다,訂單成功-第1行
orderSuccess.line2,我們已收到您的訂單,We have received your order,ご注文を受け付けました,주문을 받았습니다,訂單成功-第2行
orderSuccess.line3,訂單確認後,Once confirmed,確認後,확인 후,訂單成功-第3行
orderSuccess.line4,將依序為您安排出貨,We will arrange shipment in order,順次発送いたします,순차적으로 배송해 드리겠습니다,訂單成功-第4行
orderSuccess.line5,届時會以電話或簡訊通知您,You will be notified by phone or text,電話またはメッセージでお知らせします,전화나 문자로 알려드리겠습니다,訂單成功-第5行
orderSuccess.line6,請留意來電訊息,Please watch for our call,お電話にご注意ください,전화에 주의해 주세요,訂單成功-第6行
orderSuccess.line7,如有任何問題,If you have any questions,ご質問がある場合,궁금한 점이 있으시면,訂單成功-第7行
orderSuccess.line8,歡迎於營業時間來電 089-862050,Please call during business hours: 089-862050,営業時間内にお電話ください：089-862050,영업 시간 중 전화주세요: 089-862050,訂單成功-第8行
inquirySuccess.title,All we want is a TASTE!,All we want is a TASTE!,All we want is a TASTE!,All we want is a TASTE!,洽詢成功-標題
inquirySuccess.line1,謝謝您選擇豆之間,Thank you for choosing Soybean Space,豆の間をお選びいただきありがとうございます,콩사이를 선택해 주셔서 감사합니다,洽詢成功-第1行
inquirySuccess.line2,我們期待不同合作,We look forward to collaborations,コラボレーションを楽しみにしています,협업을 기대합니다,洽詢成功-第2行
inquirySuccess.line3,激盪出更多有趣的靈感火花,Sparking more creative inspirations,より多くの創造的なインスピレーションを,더 많은 창의적인 영감을,洽詢成功-第3行
inquirySuccess.line4,資料送出後,After submission,送信後,제출 후,洽詢成功-第4行
inquirySuccess.line5,專員將依序與您電話確認,Our team will contact you by phone,担当者からお電話いたします,담당자가 전화드리겠습니다,洽詢成功-第5行
inquirySuccess.line6,近日別忘了留意來電,Please watch for our call soon,近日中のお電話にご注意ください,곧 전화 드리니 주의해 주세요,洽詢成功-第6行
inquirySuccess.line7,期待認識美好品味的你,We look forward to meeting you,お会いできることを楽しみにしています,뵙기를 기대합니다,洽詢成功-第7行
map.title,交通資訊,Transportation,交通情報,교통 정보,地圖-標題
map.phone,電話:089-862050,Phone: 089-862050,電話：089-862050,전화: 089-862050,地圖-電話
map.address,地址:台東縣池上鄉中山路通水巷12號,Address: No. 12 Tongshui Ln. Zhongshan Rd. Chishang Township Taitung County,住所：台東県池上郷中山路通水巷12号,주소: 타이둥현 츠샹향 중산로 퉁수이샹 12호,地圖-地址
map.hours,Open_Mon.-Fri.08:00-17:00,Open Mon.-Fri. 08:00-17:00,営業時間：月-金 08:00-17:00,영업시간: 월-금 08:00-17:00,地圖-營業時間
map.transport,轉乘方式:,How to get here:,アクセス：,오시는 길:,地圖-交通方式
map.transportDesc1,搭乘火車到達池上火車站後往,Take the train to Chishang Station,池上駅まで電車でお越しください,츠샹역까지 기차로 오세요,地圖-交通描述1
map.transportDesc2,池上市區方向徒步3分鐘路程。,then walk 3 minutes toward the town center.,市街地方向へ徒歩3分。,시내 방향으로 도보 3분。,地圖-交通描述2
footer.address,台東縣池上鄉中山路通水巷12號,No. 12 Tongshui Ln. Zhongshan Rd. Chishang Township Taitung County,台東県池上郷中山路通水巷12号,타이둥현 츠샹향 중산로 퉁수이샹 12호,頁尾-地址
footer.disclaimer,本網站為緯育TibaMe前端設計工程師班第74期學員專題作品，本平台僅供學習、展示之用。參考資源:豆之間、池上鄉農會、葉海地老師作品、部落客不羈、龜記、.but。,This website is a student project by TibaMe Front-End Design Engineering Class 74. For learning and demonstration purposes only.,このウェブサイトはTibaMe Front-End Design Engineering Class 74の学生プロジェクトです。学習とデモンストレーション目的のみです。,이 웹사이트는 TibaMe Front-End Design Engineering Class 74의 학생 프로젝트입니다. 학습 및 시연 목적으로만 사용됩니다。,頁尾-免責聲明
route.home,豆之間 Soybean Space,Soybean Space,豆の間 Soybean Space,콩사이 Soybean Space,路由-首頁
route.shop,線上購買,Shop Online,オンラインショップ,온라인 쇼핑,路由-線上購買
route.product,商品詳情,Product Details,商品詳細,상품 상세,路由-商品詳情
route.art,線上探索豆間,Bean Art Present,アート展示,아트 프레젠트,路由-藝術展示
route.menu,豆間菜單,Bean Menu,豆の間メニュー,메뉴,路由-菜單
route.map,尋找豆間,Find Us,豆の間を探す,찾기,路由-地圖
route.cart,購物車,Cart,カート,장바구니,路由-購物車
route.checkout,填寫訂購資訊,Checkout,注文情報入力,주문 정보 입력,路由-結帳
route.checkoutSuccess,訂購完成,Order Complete,注文完了,주문 완료,路由-訂購完成
route.login,登入 / 註冊,Login / Register,ログイン / 登録,로그인 / 가입,路由-登入
route.inquiry,企業大宗詢問,Corporate Inquiry,法人お問い合わせ,기업 문의,路由-洽詢
route.inquirySuccess,表單送出,Inquiry Submitted,フォーム送信完了,문의 제출 완료,路由-洽詢成功
